,pred:ARTS,pred:ARTS & CULTURE,pred:BLACK VOICES,pred:BUSINESS,pred:COLLEGE,pred:COMEDY,pred:CRIME,pred:CULTURE & ARTS,pred:DIVORCE,pred:EDUCATION,pred:ENTERTAINMENT,pred:ENVIRONMENT,pred:FIFTY,pred:FOOD & DRINK,pred:GOOD NEWS,pred:GREEN,pred:HEALTHY LIVING,pred:HOME & LIVING,pred:IMPACT,pred:LATINO VOICES,pred:MEDIA,pred:MONEY,pred:PARENTING,pred:PARENTS,pred:POLITICS,pred:QUEER VOICES,pred:RELIGION,pred:SCIENCE,pred:SPORTS,pred:STYLE,pred:STYLE & BEAUTY,pred:TASTE,pred:TECH,pred:THE WORLDPOST,pred:TRAVEL,pred:WEDDINGS,pred:WEIRD NEWS,pred:WELLNESS,pred:WOMEN,pred:WORLD NEWS,pred:WORLDPOST
true:ARTS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
true:ARTS & CULTURE,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
true:BLACK VOICES,0,0,12,0,0,0,1,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,2,0,6,2,1,0,1,0,4,0,0,0,2,0,0,1,1,0,0
true:BUSINESS,0,0,0,16,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,1,0,1,0,1,0,0,4,0,0,0
true:COLLEGE,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
true:COMEDY,0,0,0,0,0,9,0,0,0,1,6,1,0,0,1,1,1,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
true:CRIME,0,0,1,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
true:CULTURE & ARTS,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
true:DIVORCE,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:EDUCATION,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:ENTERTAINMENT,0,0,1,0,0,2,1,0,1,0,72,0,0,1,0,0,0,1,0,0,0,1,0,0,16,1,1,0,2,0,2,0,1,0,3,1,0,4,0,0,0
true:ENVIRONMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
true:FIFTY,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
true:FOOD & DRINK,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0
true:GOOD NEWS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
true:GREEN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
true:HEALTHY LIVING,0,0,0,2,1,1,1,0,0,0,1,0,1,0,1,0,3,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0
true:HOME & LIVING,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
true:IMPACT,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
true:LATINO VOICES,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
true:MEDIA,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:MONEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
true:PARENTING,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,18,2,8,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0
true:PARENTS,0,0,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
true:POLITICS,0,0,2,0,0,0,4,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,169,2,1,0,1,0,0,0,1,0,0,1,0,3,0,1,1
true:QUEER VOICES,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,6,22,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
true:RELIGION,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,7,0,0,0,2,0,0,0,1,0,0,2,0,0,0
true:SCIENCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0
true:SPORTS,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0
true:STYLE,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0
true:STYLE & BEAUTY,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,50,0,0,0,0,1,1,1,0,0,0
true:TASTE,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
true:TECH,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
true:THE WORLDPOST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0
true:TRAVEL,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,1,0,1,0,7,0,0,0,41,0,1,0,0,0,0
true:WEDDINGS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1,0
true:WEIRD NEWS,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,2,0,0,0,3,0,2,2,0,0,0
true:WELLNESS,0,0,0,2,0,0,0,0,0,0,5,0,0,5,1,0,3,1,0,0,0,0,3,0,8,2,0,1,0,0,1,0,1,0,4,2,0,80,1,0,0
true:WOMEN,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0
true:WORLD NEWS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,0
true:WORLDPOST,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,2
